id,value,userid,tag
multivariate,1,2917,No
calculating,1,2917,No
valuestutorial,1,2917,No
one,1,2917,No
take,1,2917,No
variable,1,2917,No
integer,1,2917,No
regression,1,2917,yes
function,1,35549,yes
layer,1,35549,No
used,1,35549,No
whats,1,35549,No
activation,1,35549,No
library,1,35549,yes
 et,1,35549,No
nodes,1,35549,No
hidden,1,35549,No
gray,1,53193,No
perform,1,53193,No
graph,1,53193,No
customizing,1,53193,No
analysis,1,53193,yes
regionssteps,1,53193,No
series,1,53193,No
time,1,53193,No
based,1,106386,No
measures,1,106386,No
results,1,106386,No
anova,1,106386,yes
repeated,1,106386,No
convergence,1,106386,yes
nlme,1,106386,yes
lme,1,106386,yes
invivostat,1,106386,No
measures,4,11384,No
repeated,4,11384,No
multilevel,4,11384,No
covariance,2,11384,yes
anovawhat,1,11384,No
modelhow,1,11384,No
variable,1,11384,No
check,1,11384,No
scale,1,11384,No
matrix,1,11384,yes
heteroskedasticity,1,11384,No
structures,1,11384,No
correct,1,11384,No
modelfactor,1,11384,No
dependent,1,11384,yes
morenoncollapsed,1,11384,No
corcar,1,11384,No
anovafixed,1,11384,No
contrasts,1,11384,yes
difference,1,11384,No
data,1,11384,No
structure,1,11384,No
standardization,1,11384,yes
modelmultilevel,1,11384,No
corar,1,11384,No
modeldata,1,11384,No
correlation,1,11384,yes
mixed,1,11384,No
effects,1,11384,yes
coxph,3,27700,No
harrells,2,27700,No
score,2,27700,No
brier,2,27700,No
index,2,27700,No
time,2,27700,No
limited,1,27700,No
selection,1,27700,No
predict,1,27700,No
series,1,27700,No
prediction,1,27700,yes
discrepancy,1,27700,No
converge,1,27700,No
analyzing,1,27700,No
glmnet,1,27700,yes
log,1,27700,No
fit,1,27700,No
categorical,1,27700,No
feature,1,27700,No
glmnetrs,1,27700,No
lassorms,1,27700,No
observations,1,27700,No
factor,1,27700,No
include,1,27700,No
evaluation,1,27700,No
pec,1,27700,No
function,1,27700,yes
good,1,27700,No
models,1,27700,No
statusproblem,1,27700,No
group,1,31991,No
groupinferring,1,31991,No
value,1,31991,No
single,1,31991,No
effects,1,31991,yes
unmeasured,1,31991,No
confidence,1,25493,yes
binomial,1,25493,yes
proportion,1,25493,yes
change,1,25493,No
interval,1,25493,yes
seasonal,1,35526,No
krigingconfidence,1,35526,No
computing,1,35526,yes
random,1,35526,No
sample,1,35526,yes
interpretation,1,35526,yes
issues,1,35526,No
linear,1,35526,yes
selected,1,35526,No
folded,1,35526,No
critical,1,35526,No
finding,1,35526,No
